"id","title","movie_file","poster","summary","release_date","duration","parental_guide","rating","actors","size","active","date_added"
"1","Alita: Battle Angel","alita_battle_angel.mp4","alita.jpg","Alita, a battle cyborg, is revived by Ido, a doctor, who realises that she actually has the soul of a teenager. Alita then sets out to learn about her past and find her true identity.","2022-02-19","130","PG-16","7.3",,"916","1","2023-09-15 11:49:20"
"2","Chicago PD","chicago_pd.mp4","chicago_pd.jpg","Detective Sergeant Hank Voight and his elite Intelligence Unit at the Chicago Police Department combat atrocious offences and bring criminals to justice.","2022-01-14","86","PG-16","8.2",,"789","1","2023-09-15 11:49:20"
"3","Batman vs Superman: Dawn of Justice","dawn_of_justice.mp4","dawn_of_justice.jpg","Bruce Wayne, a billionaire, believes that Superman is a threat to humanity after his battle in Metropolis. Thus, he decides to adopt his mantle of Batman and defeat him once and for all.","2022-03-25","116","PG-13","6.4",,"812","1","2023-09-15 11:49:20"
"4","Day Shift","day_shift.mp4","day_shift.jpg","A hardworking dad out to provide for his daughter uses a boring pool-cleaning job as a front for his real gig: hunting and killing vampires.","2022-08-12","94","R","6.1",,"732","1","2023-09-15 11:49:20"
"5","Death on the Nile","death_on_nile.mp4","death_nile.jpg","Belgian sleuth Hercule Poirot's Egyptian vacation aboard a glamorous river steamer turns into a terrifying search for a murderer when a picture-perfect couple's idyllic honeymoon is tragically cut short.","2022-02-11","127","PG-13","6.3",,"890","1","2023-09-15 11:49:20"
"6","Mission: Impossible - Fallout","mi_fallout.mp4","fall_out.jpg","A group of terrorists plans to detonate three plutonium cores for a simultaneous nuclear attack on different cities. Ethan Hunt, along with his IMF team, sets out to stop the carnage.","2022-07-22","147","PG-13","7.7",,"812","1","2023-09-15 11:49:20"
"7","Fantastic Beasts: The Secrets of Dumbledore","secret_of_dumbledore.mp4","fantastic_beast.jpg","Dumbledore assembles a team of wizards, witches and a Muggle baker to oppose the rise of Gellert Grindelwald. They hatch a plan to confuse Grindelwald and stop him from attaining political power.","2022-04-15","142","PG-13","6.2",,"909","1","2023-09-15 11:49:20"
"8","The Man from U.N.C.L.E","man_from_uncle.mp4","man_from_uncle.jpg","Napoleon Solo, a CIA agent, and Illya Kuryakin, a KGB operative, must set aside their differences and work together to thwart the plans of a criminal organization that wants to use nuclear weapons.","2022-08-23","123","PG-13","7.2",,"828","1","2023-09-15 11:49:20"
"9","Mission: Impossible - Rogue Nation","mi_rogue_nation.mp4","rogue_nation.jpg","With the IMF disbanded and the CIA hunting him, Ethan and his team race against time to prove the existence of the Syndicate, a highly-skilled terror organisation, before they plan their next attack.","2022-08-07","131","PG-13","7.4",,"888","1","2023-09-15 11:49:20"
"10","The Vault","the_vault.mp4","the_vault.jpg","When an engineer learns of a mysterious, impenetrable fortress hidden under the Bank of Spain, he joins a crew of master thieves who plan to steal the legendary lost treasure while the whole country watches the World Cup. With thousands of soccer fans cheering in the streets, and security forces closing in, the crew has just minutes to pull off the score of a lifetime.","2021-11-12","118","R","6.4",,"812","1","2023-09-15 11:49:20"
